bairro;localizacao;preco;quartos;m2;corretora;data_anuncio;pm2
Sudoeste ;SQSW 306 LINDO!03 QTOS(STE)DCE REFORMADO ARMS ECXTE PRE?O R$$;987000;3;100;7037;12/01/2014;9.870
Asa Norte ;SQN 316 ANDAR ALTO VAZADO 03 QTS STE ARM?RIOS;989000;3;125;7037;07/12/2013;7.912
Asa Norte ;SQN 105 ;990000;3;127;17644;29/01/2014;7.795
Asa Norte ;SQN 211 - NASCENTE - REFORMADO - GARAGEM;990000;3;106;13933;29/01/2014;9.340
Asa Norte ;SQN 211 - REFORMADO - NASCENTE - ELEVADOR - GARAGEM;990000;3;106;13933;29/01/2014;9.340
Noroeste ;SQNW 109 PRONTO DESOCUPADO  8408-4788;990000;2;84;19420;29/01/2014;11.786
Noroeste ;SQNW 309 REGENT NOROESTE;990000;3;127;17001;28/01/2014;7.795
Noroeste ;SQNW 309 REGENT NOROESTE;990000;3;127;17001;28/01/2014;7.795
Sudoeste ;CCSW 02 **COBERTURA**;990000;1;101;7315;28/01/2014;9.802
Asa Sul ;SQS 211 BLOCO J ;990000;3;124;13579;28/01/2014;7.984
Asa Sul ;SQS 211 BLOCO J ;990000;2;124;13579;28/01/2014;7.984
Sudoeste ;SQSW 104 EXCELENTE APTO ** NASCENTE **;990000;3;105;13880;28/01/2014;9.429
Asa Sul ;SQS 315 BLOCO H ORIGINAL - ACEITA TROCA;990000;3;107,5;12161;27/01/2014;9.209
Asa Sul ;SQS 108 BLOCO K VAZADO! NASCENTE!;990000;3;135;5102;25/01/2014;7.333
Asa Norte ;SQN 307 VISTA LIVRE, REFORMADO;990000;3;123,93;9764;24/01/2014;7.988
Noroeste ;SQNW 109 BLOCO H RESERVA PARK PRONTO P/ MORAR;990000;3;108,53;5391;23/01/2014;9.122
Asa Norte ;SQN 111 LINDO APARTAMENTO, CONFIRA!!!;990000;3;109;10869;23/01/2014;9.083
Asa Norte ;SQN 105 ANDAR ALTO! NASCENTE - OPORTUNIDADE!!!;990000;3;127;15026;23/01/2014;7.795
Asa Norte ;SQN 108 APTO. VAZADO, ORIGINAL, ?TIMO PRE?O;990000;3;125;3832;20/01/2014;7.920
Noroeste ;SQNW 110 VIVERDE (OPORTUNIDADE + ARM?RIOS);990000;3;95,42;12846;15/01/2014;10.375
Asa Sul ;SQS 109 CLARO E REFORMADO;990000;3;136;3277;13/01/2014;7.279
Asa Norte ;SQN 313 RWF VENDE - CL?O 8146-2288;990000;3;105;8066;08/01/2014;9.429
Sudoeste ;SQSW 504 - 02 (DUAS VAGAS) E REFORMADISS?MO.;990000;3;116;15594;06/01/2014;8.534
Asa Norte ;SQN 211 REFORMADO, NASCENTE, CONSULTORIA COMPLETA!!!;990000;3;106;9025;30/12/2013;9.340
Sudoeste ;SQSW 104 BLOCO G -LINDO APTO COM VISTA PARA O PARQUE DA CIDAD;990000;3;105;9909;17/12/2013;9.429
Sudoeste ;SQSW 104 BLOCO G -LINDO APTO COM VISTA PARA O PARQUE DA CIDAD;990000;2;105;9909;17/12/2013;9.429
Asa Norte ;SQN 110 VIA ALDEOTA, LINDO APTO, TODO MOBILIADO! 8433-3881;990000;3;101;11546;16/12/2013;9.802
Asa Norte ;SQN 310 EXCELENTE 03 QUARTOS(STE)  EXCTE PRE?O R$$!;990000;3;115;7037;06/12/2013;8.609
Noroeste ;SQNW 309 BLOCO D ;990000;3;100,31;14480;17/01/2014;9.869
Noroeste ;SQNW 109 EDIF. SANCY, COLE??O DIAMANTES. ANDAR ALTO, CANTO.;990000;3;100;8247;28/01/2014;9.900
Noroeste ;SQNW 111 BLOCO J SCENARIO, LEIA DENTRO ANUNCIO!!!!;990000;3;112,41;19796;24/01/2014;8.807
Sudoeste ;SQSW 305 NASCENTE ANDAR ALTO ARM?RIOS  EXCTE PRE?O R$$;993000;3;105;7037;12/01/2014;9.457
Asa Norte ;SQN 105 BLOCO B ;995000;3;112;9600;29/01/2014;8.884
Sudoeste ;SQSW 504 AC. ?GUAS CLARAS. MENOR VALOR M? DO BAIRRO. 8252-282;995000;3;122;11476;28/01/2014;8.156
Asa Norte ;SQN 311 BLOCO B ;995000;3;105;5928;26/01/2014;9.476
Asa Norte ;TRECHO SCEN TRECHO 01 ILHAS DO LAGO;995000;2;75;18220;15/01/2014;13.267
Asa Norte ;SQN 115 REFORMADO! S/ MOBILIA;995000;3;101,06;10395;06/01/2014;9.846
Asa Norte ;SQN 307 ?TIMO PRE?O!AC IM?VEL (-) VALOR;995000;3;123;9706;26/12/2013;8.089
Asa Sul ;SQS 215 ;997000;3;119;11670;25/01/2014;8.378
Asa Sul ;SQS 108 - 1? ANDAR - REFORMADO;997000;3;160;13933;26/12/2013;6.231
Asa Norte ;SQN 108 COM REFORMA;998000;3;122,4;18175;27/01/2014;8.154
Asa Sul ;SQS 215 BLOCO D EXCELENTE APARTAMENTO;998000;3;119;16711;27/01/2014;8.387
Asa Norte ;SETOR SHTN LIFE RESORT, 3 QUARTOS, ACEITA IM?VEL (-) VALOR NA;998000;3;96,57;7925;20/01/2014;10.334
Noroeste ;SQNW 111 SCENARIO NOROESTE: PRONTO PARA MORAR.;998000;3;112;14688;17/01/2014;8.911
Sudoeste ;CCSW 02 UNIQUE REFORMADISSIMO DUPLEX C/TERRA?O;998000;1;98;6364;11/12/2013;10.184
Sudoeste ;CCSW 02 ;998000;2;97;6364;08/12/2013;10.289
Asa Norte ;SQN 111 IMPERD?VEL ! 03 QUARTOS !!! EXCELENTE QUADRA !!!;999000;3;100;7037;27/01/2014;9.990
Asa Sul ;SQS 215 BLOCO D ;999000;3;119;11955;02/01/2014;8.395
Noroeste ;SQNW 111 BLOCO C PERFECTT LIFE STYLE;1000000;3;108;11000;30/01/2014;9.259
Asa Sul ;SQS 315 BLOCO E SQS 315 ASA SUL BLOCO E AP 508;1000000;3;103;11000;30/01/2014;9.709
Sudoeste ;SQSW 302 REFORMADO, DE CANTO, NASCENTE E ANDAR ALTO!;1000000;3;106;17001;29/01/2014;9.434
Asa Sul ;SQS 216 LINDA CASA NO PW ACEITA APTO ASA SUL;1000000;4;450;11331;29/01/2014;2.222
Asa Sul ;SQS 315 BLOCO E ;1000000;3;102,82;7073;29/01/2014;9.726
Noroeste ;SQNW 111 AO LADO PARQUE VISTA LIVRE;1000000;3;113;11991;29/01/2014;8.850
Asa Sul ;SQS 302 BLOCO J ;1000000;3;115;8538;29/01/2014;8.696
Asa Norte ;SQN 215 VAZADO  BARATO /  8595-2022;1000000;3;127;12180;29/01/2014;7.874
Asa Norte ;SQN 111 ANDAR ALTO - NASCENTE - VISTA LIVRE;1000000;3;98,2;4789;29/01/2014;10.183
Asa Sul ;SQS 315 BLOCO E SQS 315 ASA SUL BLOCO E AP 508;1000000;3;103;11000;29/01/2014;9.709
Asa Norte ;SQN 313 N?O PERCA!! REFORMADO, VAZADO, 4? ANDAR DE CANTO;1000000;3;105;11983;28/01/2014;9.524
Asa Norte ;SQN 303 BLOCO D CANTO, 2? ANDAR;1000000;3;108,73;275;28/01/2014;9.197
Asa Sul ;SQS 108 ?TIMA OPORTUNIDADE !!!!!!!!;1000000;3;160;11983;28/01/2014;6.250
Sudoeste ;SQSW 306 REFORMADO!!!NASCENTE!!;1000000;3;98;11983;28/01/2014;10.204
Sudoeste ;SQSW 302 CANTO, REFORMADO COM CLOSET.;1000000;3;107;14999;27/01/2014;9.346
Sudoeste ;SQSW 306 -FLAMBOYANT!COBERTURA COLETIVA!!!!;1000000;3;97;11855;27/01/2014;10.309
Asa Sul ;SQS 214 ;1000000;3;115;17814;23/01/2014;8.696
Asa Norte ;SQN 313 BLOCO G ?TIMO APARTAMENTO - 3 QUARTOS;1000000;3;102;13880;23/01/2014;9.804
Asa Sul ;SQS 113 BLOCO F ;1000000;2;110;19700;22/01/2014;9.091
Asa Sul ;SQS 315 BLOCO E CANTO NASCENTE!! OPORTUNIDADE;1000000;3;103;14786;22/01/2014;9.709
Sudoeste ;SQSW 306 NASCENTE, VISTA LIVRE, REFORMAD?SSIMO!;1000000;3;99;7550;21/01/2014;10.101
Sudoeste ;SQSW 306 - ED.FLAMBOYANT -;1000000;3;98;13933;20/01/2014;10.204
Asa Norte ;SQN 313 ;1000000;3;102;20101;19/01/2014;9.804
Asa Sul ;SQS 315 BLOCO E 5? ANDAR - CANTO - NASCENTE  LIGUE 8123-0648;1000000;3;102,82;9735;18/01/2014;9.726
Asa Norte ;SQN 313 - APARTAMENTO ESPETACULAR;1000000;3;102;13933;17/01/2014;9.804
Asa Sul ;SQS 306 ?TIMO PARA MORAR!!!!!! BAIXAMOS O PRE?O!!!!!!!;1000000;3;154;11983;16/01/2014;6.494
Asa Norte ;SQN 313 - APARTAMENTO REFORMADO - DESOCUPADO - PR?DIO REFORMA;1000000;3;114;13933;15/01/2014;8.772
Asa Sul ;SQS 315 APART.REF.5? ANDAR.V.LIVRE, NASC.;1000000;3;102,5;12315;14/01/2014;9.756
Asa Norte ;CONDOMINIO COMPLEXO ILHAS DO LAGO ;1000000;2;74;20331;13/01/2014;13.514
Asa Sul ;SQS 315 A MELHOR OP??O 315 SUL BLOCO E 9202-4442;1000000;3;102,82;14092;10/01/2014;9.726
Asa Sul ;CLS 315 ;1000000;3;108;9915;10/01/2014;9.259
Asa Sul ;SQS 304 CORA??O DE BSB, 03 QTS SALA EM   L DCE NASC 5 AND;1000000;3;160,87;14810;06/01/2014;6.216
Asa Norte ;SQN 111 COBERTURA COLETIVA COM PISCINA;1000000;3;97;15416;05/01/2014;10.309
Asa Norte ;SQN 211 REFORMAD?SSIMO!!!;1000000;3;108;180;04/01/2014;9.259
Asa Sul ;SQS 215 REFORMADO;1000000;3;117;358;03/01/2014;8.547
Asa Norte ;SQN 209 BLOCO D PR?DIO REFORMADO, 3 QT. + DCE COM 1 VAGA, TOD;1000000;3;140;9008;03/01/2014;7.143
Asa Norte ;SQN 203 VAZADO,  CONSULTORIA COMPLETA!!!;1000000;3;98;9025;02/01/2014;10.204
Sudoeste ;SQSW 105 BLOCO B APTO ... RES: VIA LISBOA;1000000;3;97;1703;02/01/2014;10.309
Asa Sul ;SQS 302 BLOCO G ;1000000;3;115;16950;24/12/2013;8.696
Asa Norte ;SQN 203 ;1000000;3;93;7315;18/12/2013;10.753
Sudoeste ;SQSW 304 CANTO, 2 VAGAS, VISTA P/AREA VERDE!;1000000;3;115;7550;17/12/2013;8.696
Asa Sul ;SQS 306 ASA SUL;1000000;3;154;17383;16/12/2013;6.494
Asa Norte ;SQN 313 ACEITO IMOVEL DE MENOR E MAIOR VALOR;1000000;3;120;12180;16/12/2013;8.333
Sudoeste ;SQSW 306 BLOCO A RESIDENCIAL FLAMBOYANT;1000000;3;100;1704;16/12/2013;10.000
Asa Sul ;SQS 215 3 QTS - 119M? - VAZADO;1000000;3;119;10930;10/12/2013;8.403
Asa Sul ;SQS 215 ;999999,99;3;119;17405;15/01/2014;8.403
Noroeste ;SQNW SCENARIO 3QTOS 2VGS VISTA LIVRE;1000000;3;112,52;15034;27/12/2013;8.887
Noroeste ;SQNW 111 BLOCO J SCENARIO-3QTOS-110M2-CARLA 81085530;1000000;3;109,8;14005;21/01/2014;9.107
Noroeste ;SQNW RIVIERA NOROESTE QD 309 - LIGUE 8123-0648;1005000;3;100,9;9735;18/01/2014;9.960
Noroeste ;SQNW 109 BLOCO A REAL EVOLUTION 2 VAGAS SOLTAS;1008000;3;105,67;14688;29/01/2014;9.539
Noroeste ;SQNW 109 106M? - VISTA LIVRE - 8465-3345;1008000;3;106;17543;26/01/2014;9.509
Noroeste ;SQNW 109 BLOCO B REAL EVOLUTION: MUDE J? P/ FRENTE DO PARQUE.;1008000;3;105;14688;11/12/2013;9.600
Noroeste ;SQNW 109 3 QTS BELISSIMO PARA PESSOAS EXIGENTES;1008000;3;107;8510;29/01/2014;9.421
Noroeste ;SQNW 109 BLOCO A REAL EVOLUTION-3QTOS-105,67M2-CARLA 81085530;1008000;3;105,67;14005;21/01/2014;9.539
Noroeste ;SQNW LINDO 3QTOS, QUASE PRONTO!FINANC.DIRETO OU BANC?RIO;1008020;3;105,67;10069;13/01/2014;9.539
Noroeste ;SQNW 109 BLOCO A REAL IM?VEL PRONTO 3 QTOS! FA?A SUA PROPOSTA;1008020,28;3;105,67;13766;27/01/2014;9.539
Noroeste ;SQNW 109- REAL EVOLUTION/ACEITA PROPOSTA! VAGAS SOLTAS!!;1008020;3;106;10803;09/01/2014;9.510
Asa Norte ;SQN 211 NASCENTE - OPORTUNIDADE;1010000;3;109;12268;13/12/2013;9.266
Sudoeste ;SQSW 101 2VAGAS/NASC/ACEITA PROPOSTA- 9529-4141;1015000;4;123;11476;28/01/2014;8.252
Noroeste ;SQNW 309 BLOCO H 3 QUARTOS SANCY 100,31M? S? R$ 1.015.000 AP;1015000;3;100,31;13406;28/01/2014;10.119
Asa Norte ;SQN 303 BLOCO F RESIDENCIAL C?TE D AZUR  5? NASCENTE;1020000;3;89;17190;29/01/2014;11.461
Asa Sul ;SQS 306 MEIO DE QUADRA, CANTO, REFORMADO, AC. FINANCIAMENTO!;1020000;3;135;3350;27/01/2014;7.556
Noroeste ;SQNW REGENT - PRONTO - OPORTUNIDADE;1020000;3;127;14999;24/01/2014;8.031
Asa Norte ;SQN 107 BLOCO F ;1020000;3;123;5511;13/01/2014;8.293
Asa Norte ;SQN 111 REFORMAD?SSIMO, VISTA LIVRE, VAZADO;1020000;3;110;7550;12/01/2014;9.273
Sudoeste ;SQSW 103 PORTAL DO BOSQUE 2 VAGAS SOLTAS;1020000;3;106;14688;11/01/2014;9.623
Asa Norte ;SQN 303 ;1020000;3;89;1399;11/01/2014;11.461
Noroeste ;SQNW 111 BLOCO J SCENARIO NOROESTE: 03 QUARTOS PRONTO P/ MORA;1020000;3;112,52;14688;12/12/2013;9.065
Noroeste ;SQNW 309 BLOCO I 3/4Q/PRONTO AGENDE VISITA APTO;1023000;4;114,1;19796;24/01/2014;8.966
Noroeste ;SQNW 109- REAL EVOLUTION/ACEITA PROPOSTA!!! VAGAS SOLTAS!;1023760;3;107,32;10803;30/12/2013;9.539
Noroeste ;SQNW VIA PRESTIGE 2 QUARTOS NOROESTE 85M? 2 VAGAS 5?ANDAR;1024595;2;86;10804;28/01/2014;11.914
Noroeste ;SQNW VIA PRESTIGE NASCENTE LINDA VISTA! 8150-8787;1024595;2;86;11546;19/01/2014;11.914
Noroeste ;SQNW VIA PRESTIGE 2Q 85M? 3?ANDAR NASCENTE 2 VAGAS NEGOCIAMOS;1024595;2;85,32;10804;28/01/2014;12.009
Asa Sul ;SQS 204 BLOCO H - EXCELENTE QUADRA;1025000;3;95,39;11528;22/12/2013;10.745
Sudoeste ;SQSW 304 - REFORMAD?SSIMO - GARAGEM - VARANDA;1029000;3;100;13933;22/01/2014;10.290
Noroeste ;SQNW 111 BLOCO J SCEN?RIO 8140-2028;1030000;3;86;10420;29/01/2014;11.977
Asa Norte ;SQN 215 ;1030000;3;127;21048;29/01/2014;8.110
Asa Norte ;SQN 215 BLOCO C ?TIMA LOCALIZA??O;1030000,05;3;128,4;10129;29/01/2014;8.022
Asa Sul ;SQS 306 APTO VISTA LIVRE SEXTO ANDAR 9244-4545;1030000;3;161;11476;29/01/2014;6.398
Asa Sul ;SQS 306 IMPERD?VEL 03 QTS STE REFORMADO EXCTE PRE?O R$$;1030000;3;154;7037;27/01/2014;6.688
Sudoeste ;CCSW 04 REFORMAD?SSIMO, PROJETO DE ILUMINA??O, 2 GARAGENS;1030000;2;96;5936;16/01/2014;10.729
Sudoeste ;CCSW 04 REFORMAD?SSIMO, PROJETO DE ILUMINA??O, 2 GARAGENS;1030000;3;96;5936;16/01/2014;10.729
Sudoeste ;SQSW 103 >>  NASCENTE, REFORMADISSIMO;1030000;3;107;18222;15/01/2014;9.626
Asa Sul ;SQS 106 ;1030000;3;177;2146;14/01/2014;5.819
Sudoeste ;SQSW 306 BLOCO A ED. FLAMBOYANT;1030000;3;98;19811;02/01/2014;10.510
Asa Sul ;SQS 212 BOM ESTADO, CONFIRA!!!;1030000;3;123;10380;24/12/2013;8.374
Asa Norte ;SQN 313 IMPERD?VEL 03 QTS STE REFORMADO EXCTE PRE?O R$$;1030000;3;102;7037;16/12/2013;10.098
Asa Norte ;SQN 311 ;1030000;3;98;20101;10/12/2013;10.510
Asa Sul ;SQS 212 BLOCO E ;1030000;3;123;1703;20/12/2013;8.374
Asa Sul ;CLS 102 BLOCO A - O MENOR PRE?O NO PRIME- LIGUE P/ ALISSO;1031000;3;116,34;17459;24/01/2014;8.862
Noroeste ;SQNW 2QTS VIA PRESTIGE ACEITA TROCA APT ASA SUL/NORTE;1034999;2;85;11621;27/01/2014;12.176
Asa Norte ;SQN 116 - 03 QUARTOS - DESOCUPADO;1040000;3;128;13933;27/01/2014;8.125
Asa Norte ;SQN 116 - GARAGEM - VAZADO - VISTA LIVRE;1040000;3;128;13933;04/01/2014;8.125
Sudoeste ;SQSW 302 VISTA LIVRE, DE CANTO, CONSULTORIA COMPLETA!!!;1040000;3;107;9025;02/01/2014;9.720
Noroeste ;SQNW 111 BLOCO C PERFECT?VEL LIFE STYLE;1040000;3;114;18986;29/12/2013;9.123
Noroeste ;SQNW 310 BLOCO B PERSONA VENTURA-PRONTO PARA MORAR!;1042000;3;103,6;14522;29/01/2014;10.058
Noroeste ;SQNW SCEN?RIO 3QTOS 2VG VISTA LIVRE;1043000;3;112;15034;13/01/2014;9.313
Noroeste ;SQNW 109 BLOCO D - ED. SANCY - PRONTO PARA MORAR;1044272,94;3;100;8714;06/01/2014;10.443
Noroeste ;SQNW 109-REAL EVOLUTION/ACEITA PROPOSTA!!! VAGAS SOLTAS!;1045313;3;106;10803;09/01/2014;9.861
Noroeste ;SQNW 109 BLOCO H - RESERVA PARQUE NOROESTE - PRONTO PARA MORA;1045745;3;108,28;8714;06/01/2014;9.658
Asa Norte ;CONDOMINIO COMPLEXO ILHAS DO LAGO ILHAS DO LAGO NASCENTE;1048000;2;74;10584;29/01/2014;14.162
Asa Sul ;SQS 109 BLOCO E -TROCO APTO MENOR PLANO PILOTO/LIVING;1049000;3;137;10043;03/01/2014;7.657
Asa Sul ;SQS 210 OPORTUNIDADE! 6? ANDAR! A/C FINANCIAMENTO !!!;1049999;3;105;5377;24/01/2014;10.000
Asa Sul ;SQS 210 SQS 210  - EXCELENTE APARTAMENTO, VAZADO, VISTA LIVRE;1050000;3;100;17001;30/01/2014;10.500
Sudoeste ;SQSW 306 SQSW 306 - FLAMBOYANT CANTO E NASCENTE!;1050000;3;111;17001;30/01/2014;9.459
Sudoeste ;SQSW 306 SQSW 306 - NASCENTE, VISTA LIVRE E REFORMADO!;1050000;3;96;17001;30/01/2014;10.938
Asa Sul ;SQS 102 BLOCO D ACEITA PROPOSTA!!!61-99095777;1050000;3;112;8696;29/01/2014;9.375
Asa Sul ;SQS 306 ;1050000;3;154;7717;29/01/2014;6.818
Asa Sul ;SQS 304 BLOCO K ;1050000;3;140;20063;29/01/2014;7.500
Asa Norte ;SQN 211 NASCENTE, VAZADO,;1050000;3;110;10584;29/01/2014;9.545
Asa Norte ;SQN 111 PRIME BRAS?LIA VDE ?TIMO APTO 8408-4788;1050000;3;120;19420;29/01/2014;8.750
Asa Sul ;SQS 302 4? ANDAR DESOCUPADO  VAZADO  V. LIVRE;1050000;3;116;10584;29/01/2014;9.052
Asa Norte ;SQN 308 ;1050000;3;127;10584;29/01/2014;8.268
Asa Sul ;SQS 113 ;1050000;3;120;14021;29/01/2014;8.750
Asa Norte ;SQN 111 BLOCO H OPORTUNIDADE DE NEG?CIO!!!;1050000;3;120;16810;29/01/2014;8.750
Asa Norte ;SQN 308 BLOCO E DESOCUPADO CANTO VAZADO;1050000;3;123,93;12732;29/01/2014;8.473
Sudoeste ;CCSW 02 UNIQUE RESIDENCE DUPLEX;1050000;2;60;17001;29/01/2014;17.500
Asa Sul ;SQS 214 ;1050000;3;112;17001;28/01/2014;9.375
Asa Sul ;SQS 315 REFORMADO, NASCENTE, SU?TE, DCE 2 VAGAS;1050000;3;102;10491;28/01/2014;10.294
Sudoeste ;CCSW 02 UNIQUE - OPORTUNIDADE;1050000;1;78;19420;28/01/2014;13.462
Asa Sul ;SQS 306 ;1050000;3;164;12462;28/01/2014;6.402
Asa Norte ;SQN 105 LINDO!!! REFORMADO!!NASCENTE!!;1050000;3;115;11983;28/01/2014;9.130
Asa Norte ;SQN 313 BLOCO H ;1050000;3;125;6916;27/01/2014;8.400
Asa Sul ;SQS 305 BLOCO E ;1050000;3;133,53;3312;27/01/2014;7.863
Asa Norte ;SQN 111 BLOCO H ACEITA IM?VEL MENOR VALOR;1050000;3;120;19812;27/01/2014;8.750
Asa Norte ;SQN 209 3 QUARTOS - VAZADO - OPORTUNIDADE!;1050000;3;140;13221;25/01/2014;7.500
Asa Norte ;SQN 310 BLOCO B NASCENTE, VISTA LIVRE;1050000;4;135;365;24/01/2014;7.778
Asa Norte ;SQN 209 ;1050000;3;140;8666;24/01/2014;7.500
Asa Norte ;SQN 105 BLOCO G 1 VAGA, NASCENTE, VAZADO, VISTA LIVRE;1050000;3;112;15332;24/01/2014;9.375
Asa Norte ;SQN 105 BLOCO B ;1050000;3;137;9182;24/01/2014;7.664
Noroeste ;SQNW ;1050000;3;95;17954;24/01/2014;11.053
Sudoeste ;CCSW 04 ;1050000;3;96;9807;23/01/2014;10.938
Sudoeste ;SQSW 103 BLOCO B ED. VARANDAS - VAZADO!;1050000;3;126;4996;23/01/2014;8.333
Sudoeste ;SQSW 102 5? ANDAR DE CANTO! LINDO!! 2 VAGAS!;1050000;3;110;6257;22/01/2014;9.545
Asa Norte ;SQN 214 >> 2 VAGAS, REFORMADO;1050000;3;96;18222;20/01/2014;10.938
Asa Norte ;SQN 111 - 03 QTS - NASCENTE - RICO EM ARM?RIOS;1050000;3;120;13933;20/01/2014;8.750
Asa Sul ;SQS 302 ;1050000;3;115;6069;19/01/2014;9.130
Asa Norte ;SQN 214 ;1050000;3;90,56;3545;18/01/2014;11.595
Asa Sul ;SQS 306 ;1050000;3;154;14480;17/01/2014;6.818
Asa Sul ;SQS 306 ;1050000;3;154;12268;17/01/2014;6.818
Asa Norte ;SQN 212 BLOCO D LINDO 3 QTS COM ARM?RIOS E LAZER!;1050000;3;105;9669;15/01/2014;10.000
Asa Sul ;SQS 108 BLOCO C NASCENTE E DE CANTO;1050000;3;140;8454;15/01/2014;7.500
Asa Sul ;SQS 213 >> 4?ANDAR, 1 VAGA, ?TIMA PLANTA;1050000;3;120;18222;15/01/2014;8.750
Asa Norte ;SQN 104 ;1050000;3;113;10075;14/01/2014;9.292
Asa Norte ;SQN 212 LINDO!!! ED. AN?SIO TEIXEIRA!;1050000;3;110;10075;14/01/2014;9.545
Asa Norte ;SQN 209 BLOCO E 3QTS 108M?  DESOCUPADO;1050000;3;108;17829;13/01/2014;9.722
Sudoeste ;SQSW 102 BLOCO C APTO 511 ED RIO MADEIRA;1050000;3;110;9760;13/01/2014;9.545
Asa Norte ;SQN 107 DESOCUPADO - COM COBERTURA COLETIVA;1050000;3;114;358;13/01/2014;9.211
Sudoeste ;SQSW 105 LINDA REFORMA;1050000;3;100;358;13/01/2014;10.500
Asa Norte ;SQN 104 BLOCO F ;1050000;3;111,72;9422;13/01/2014;9.398
Asa Norte ;SQN 209 ***VAZADO***;1050000;3;140;7315;13/01/2014;7.500
Asa Sul ;SQS 306 IMPERD?VEL 03 QTS EXCTE PRE?O R$$;1050000;3;154;7037;12/01/2014;6.818
Asa Norte ;SQN 105 :: LINDO APTO ::?TIMA PLANTA:: VAZADO:: ACEIT;1050000;3;137;13880;11/01/2014;7.664
Asa Norte ;SQN 104 NASCENTE, VISTA LIVRE -  RWF;1050000;3;112;8066;08/01/2014;9.375
Sudoeste ;SQSW 306 REFORMAD?SSIMO, DE CANTO, NASCENTE!;1050000;3;111,78;10193;07/01/2014;9.393
Asa Sul ;SQS 109 ;1050000;3;136;10016;07/01/2014;7.721
Asa Sul ;SQS 306 BLOCO H EXCELENTE APTO - OPORTUNIDADE;1050000;3;120;5936;07/01/2014;8.750
Asa Norte ;SQN 209 ;1050000;3;140;9182;06/01/2014;7.500
Asa Norte ;SQN 115 (61)85600053/81604020;1050000;3;125;20363;03/01/2014;8.400
Asa Norte ;SQN 214 ;1050000;3;91;5179;03/01/2014;11.538
Asa Norte ;SQN 209 ;1050000;3;140;5179;02/01/2014;7.500
Asa Sul ;SQS 213 BLOCO K ;1050000;3;120;7476;30/12/2013;8.750
Asa Norte ;SQN 305 BLOCO D RES. GENERAL ROSA;1050000;3;103;4996;30/12/2013;10.194
Noroeste ;SQNW 309 BLOCO I 4 QUARTOS PRONTO PARA MORAR//8215 6648;1050000;4;114,1;14688;27/12/2013;9.202
Asa Norte ;SQN 115 -  VISTA LIVRE,VAZADO E COM ARM?RIOS;1050000;3;105;9476;26/12/2013;10.000
Asa Sul ;SQS 204 IMPERD?VEL! VAZADO 03 QTOS DCE EXCTE PRE?O R$$;1050000;3;125;7037;16/12/2013;8.400
Asa Sul ;SQS 306 154 M? PRIV REFORMADO VAZADO OPORTUNIDADE!!;1050000;4;154;9804;14/12/2013;6.818
Asa Sul ;SQS 302 BLOCO H ;1050000;3;115;7791;13/12/2013;9.130
Noroeste ;SQNW 309 BLOCO G ;1050000;3;127;9909;13/12/2013;8.268
Asa Sul ;SQS 211 BLOCO A EXCELENTE LOCALIZA??O;1050000;3;127;19700;07/12/2013;8.268
Asa Sul ;SQS 307 IMPERD?VEL 3 QUARTOS EXCTE PRE?O!!!;1050000;3;104;7037;06/12/2013;10.096
Noroeste ;SQNW 309 BLOCO I ;1050000;4;114;20348;25/01/2014;9.211
Noroeste ;SQNW 109 ;1050000;3;108;7037;12/01/2014;9.722
Noroeste ;SQNW 108 BLOCO J ?GIO OU QUITADO;1050000;2;75;7173;22/01/2014;14.000
Noroeste ;SQNW 309 BLOCO H ;1052000;3;100;20381;24/01/2014;10.520
Noroeste ;SQNW CANTO 4 QTOS * 2? ANDAR * ACEITA PROPOSTA;1057000;4;115;15034;10/12/2013;9.191
Sudoeste ;SQSW 104 ACEITA IMOV?L DE MENOR VALOR ESTA TODO REFOR;1060000;3;101,89;10584;29/01/2014;10.403
Noroeste ;SQNW 111 BLOCO J 3 QUARTOS REFORMADO -;1060000;3;88;11524;26/01/2014;12.045
Sudoeste ;SQSW 306 IMPERD?VEL ! 03 QTOS(STE) DCE ANDAR ALTO  LAZER !!;1060000;3;106;7037;12/01/2014;10.000
Asa Norte ;SQN 206 ELEVADOR, GAR, STE. RWF;1060000;3;120;8066;08/01/2014;8.833
Noroeste ;SQNW 309 BLOCO I ;1062561;3;103;11000;30/01/2014;10.316
Sudoeste ;SQSW 302 LINDO 03 QTOS(STE) DCE ARMS QUADRA NOBRE EXCTE PRE?O;1065000;3;107;7037;30/12/2013;9.953
Sudoeste ;SQSW 306 CONFIRA OUTRAS OP??ES COM 3 QTOS;1070000;3;106;11331;29/01/2014;10.094
Asa Norte ;SQN 108 VAZADO , EXCELENTE;1070000;3;135;10584;29/01/2014;7.926
Noroeste ;SQNW 309 ACEITO SEU CARRO NO NEG?CIO, FINANCIO COM TAXA DE 8%;1070000;3;127,24;12463;17/01/2014;8.409
Asa Sul ;SQS 312 !!! REFORMAD?SSIMO!!! COBERTURA COLETIVA COM PISCINA;1070000;3;97;7037;12/01/2014;11.031
Asa Sul ;SQS 302 BARATO...EXCELENTE APARTAMENTO!!!;1070000;3;115;3889;07/01/2014;9.304
Asa Sul ;SQS 302 5? ANDAR DESOCUPADO;1070000;3;116;9764;02/01/2014;9.224
